-0.009,-0.184,-0.012,-0.013,-0.007,0.07
-0.017,-0.186,0.02,-0.016,-0.005,0.068
-0.021,-0.178,0.008,-0.012,-0.008,0.063
-0.02,-0.176,0.008,-0.014,-0.013,0.058
-0.016,-0.163,0.017,-0.013,-0.009,0.058
-0.007,-0.156,0.005,-0.016,-0.009,0.066
-0.012,-0.164,-0.005,-0.018,0.002,0.091
-0.01,-0.173,-0.037,-0.019,0.003,0.092
0.008,-0.161,-0.057,-0.015,-0.01,0.078
0.016,-0.143,-0.077,-0.008,-0.019,0.076
0.029,-0.13,-0.1,0,-0.029,0.073
0.037,-0.12,-0.131,0.003,-0.032,0.069
0.048,-0.096,-0.124,-0,-0.027,0.057
0.053,-0.09,-0.114,0.004,-0.031,0.042
0.041,-0.116,-0.119,0.008,-0.036,0.029
0.025,-0.128,-0.106,-0.003,-0.02,0.04
0.015,-0.127,-0.084,-0.012,-0.009,0.036
-0.008,-0.159,-0.044,-0.023,0.001,0.045
-0.012,-0.149,0.003,-0.029,-0,0.032
-0.038,-0.163,0.018,-0.044,0.01,0.047
-0.049,-0.19,0.049,-0.041,0.015,0.047
-0.049,-0.212,0.032,-0.031,0.006,0.04
-0.036,-0.188,0.026,-0.027,0.001,0.052
-0.038,-0.18,0.037,-0.026,0.005,0.06
-0.044,-0.173,0.038,-0.03,0.008,0.062
-0.042,-0.175,0.033,-0.027,0.007,0.056
-0.025,-0.168,0.003,-0.012,-0.018,0.029
-0.016,-0.181,-0.019,-0.013,-0.021,0.028
-0.004,-0.195,-0.035,-0.017,-0.013,0.039
0.012,-0.164,-0.059,-0.009,-0.026,0.017
0.029,-0.146,-0.088,-0.01,-0.033,0.019
0.028,-0.128,-0.1,-0.013,-0.02,0.039
0.027,-0.125,-0.105,-0.011,-0.02,0.038
0.036,-0.126,-0.105,-0.009,-0.016,0.039
0.028,-0.123,-0.113,-0.013,-0.013,0.038
0.019,-0.117,-0.062,-0.015,-0.017,0.014
0.022,-0.111,-0.09,-0.009,-0.016,0.013
0.022,-0.111,-0.053,-0.013,-0.017,-0.017
-0.002,-0.145,-0.028,-0.019,-0.009,0.026
0.005,-0.143,-0.011,-0.017,-0.016,0.009
-0.006,-0.165,-0.013,-0.015,-0.012,0.015
-0.014,-0.158,0.001,-0.016,-0.016,0.006
-0.024,-0.157,-0.009,-0.016,-0.005,0.014
-0.036,-0.154,0.012,-0.03,0.013,0.029
-0.02,-0.119,0.013,-0.036,0.024,0.026
0.051,-0.065,-0.012,-0.025,0.008,0.007
0.053,-0.076,-0.023,-0.028,0.001,0.004
0.04,-0.099,-0.04,-0.021,-0.011,0.005
0.021,-0.125,-0.06,-0.02,-0.016,0.017
0.01,-0.139,-0.081,-0.022,-0.006,0.026
0.011,-0.14,-0.091,-0.02,-0.013,0.021
0.018,-0.122,-0.113,-0.015,-0.014,0.024
0.013,-0.116,-0.128,-0.016,-0.016,0.02
0.014,-0.11,-0.12,-0.01,-0.028,0.005
0.015,-0.092,-0.113,-0.004,-0.032,-0
0.023,-0.09,-0.107,-0.002,-0.041,-0.02
0.011,-0.115,-0.087,-0.011,-0.019,-0
-0.004,-0.129,-0.056,-0.02,-0.011,-0.008
0.012,-0.135,0.005,-0.016,-0.024,-0.034
0.026,-0.119,-0.017,-0.011,-0.013,-0.018
0.017,-0.124,0.037,-0.025,-0.006,-0.017
0.005,-0.124,0.004,-0.023,-0.002,-0.015
-0.001,-0.118,0.011,-0.018,-0.009,-0.017
-0.004,-0.134,0.021,-0.022,-0.002,-0.003
-0.008,-0.128,0.01,-0.021,-0,0.002
-0.006,-0.118,-0.002,-0.017,-0.005,0.004
0.003,-0.099,-0.021,-0.013,-0.005,0.013
0.013,-0.087,-0.049,-0.006,-0.009,0.01
0.017,-0.101,-0.074,-0.006,-0.016,0.008
0.015,-0.101,-0.095,-0.011,-0.018,0.007
0.021,-0.098,-0.116,-0.005,-0.02,0.007
0.019,-0.101,-0.119,-0.001,-0.023,0.001
0.025,-0.104,-0.126,-0.004,-0.021,-0.002
0.027,-0.09,-0.123,-0.008,-0.017,0.001
0.018,-0.075,-0.124,-0.013,-0.013,-0.001
0.016,-0.075,-0.11,-0.015,-0.005,-0.005
0.009,-0.066,-0.108,-0.016,-0.004,-0.005
0.004,-0.077,-0.051,-0.019,-0.002,-0.011
-0.008,-0.095,-0.021,-0.023,0.001,-0.005
-0.016,-0.125,-0.019,-0.027,0.008,0.011
-0.011,-0.122,0.049,-0.03,0.01,0.009
-0.007,-0.115,0.003,-0.022,0.004,0.011
-0.004,-0.098,0.012,-0.017,0.003,0.009
0.001,-0.084,0.017,-0.011,-0.005,0.003
-0.005,-0.077,0.018,-0.013,-0.003,0.012
-0.032,-0.089,0,-0.021,-0,0.033
-0.052,-0.084,-0.017,-0.019,0.002,0.039
-0.032,-0.084,-0.036,-0.02,-0.002,0.043
-0.033,-0.112,-0.051,-0.026,0.004,0.036
-0.036,-0.137,-0.082,-0.031,-0.006,0.033
-0.04,-0.13,-0.086,-0.033,0.002,0.033
0.006,-0.1,-0.111,-0.025,-0.001,0.027
0.062,-0.083,-0.122,-0.015,-0.017,0.009
0.091,-0.058,-0.133,-0.009,-0.03,0.003
0.068,-0.054,-0.125,-0.013,-0.021,0.019
0.04,-0.064,-0.103,-0.013,-0.011,0.022
0.027,-0.061,-0.093,-0.014,-0.021,-0.004
0.008,-0.07,-0.051,-0.022,-0.019,-0.018
-0.012,-0.076,-0.029,-0.041,0.004,-0.001
-0.02,-0.098,0.028,-0.032,0.014,0.027
-0.02,-0.108,-0.016,-0.025,0.004,0.014
0.002,-0.108,0.005,-0.018,-0.013,-0.008
0.007,-0.097,0.006,-0.018,-0.011,-0.004
0.009,-0.075,0.019,-0.023,0.001,0.012
